what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.dltk.launching,2.0.0.v20100806-1245,"org.eclipse.dltk.launching",1465524141346
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100909-1720,"org.eclipse.dltk.ui",1465524141346
os,sysinfo,,,"win32",1465524141346
arch,sysinfo,,,"x86_64",1465524141346
ws,sysinfo,,,"win32",1465524141346
locale,sysinfo,,,"en_US",1465524141346
processors,sysinfo,,,"4",1465524141346
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1465524141346
java.runtime.version,sysinfo,,,"1.8.0_91-b15",1465524141346
java.specification.name,sysinfo,,,"Java Platform API Specification",1465524141346
java.specification.vendor,sysinfo,,,"Oracle Corporation",1465524141346
java.specification.version,sysinfo,,,"1.8",1465524141346
java.vendor,sysinfo,,,"Oracle Corporation",1465524141346
java.version,sysinfo,,,"1.8.0_91",1465524141346
java.vm.info,sysinfo,,,"mixed mode",1465524141346
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1465524141346
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1465524141346
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1465524141346
java.vm.specification.version,sysinfo,,,"1.8",1465524141346
java.vm.vendor,sysinfo,,,"Oracle Corporation",1465524141346
java.vm.version,sysinfo,,,"25.91-b15",1465524141346
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1465524173467
error,log,,,"Unhandled event loop exception",1465524176899
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1465524182982
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1465524192077
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1465524192108
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1465524199628
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1465524232231
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1465524233292
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1465524233308
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1465524233308
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1465524233323
opened,editor,com.roku.brightscript.plugin,1.0.0.201407311702,"com.roku.brightscript.ide.eclipse.core.editors.BrightScriptManifestEditor",1465524235617
activated,editor,com.roku.brightscript.plugin,1.0.0.201407311702,"com.roku.brightscript.ide.eclipse.core.editors.BrightScriptManifestEditor",1465524235679
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1465524259048
opened,editor,com.roku.brightscript.plugin,1.0.0.201407311702,"com.roku.brightscript.ide.eclipse.core.editors.BrightScriptManifestEditor",1465524262292
activated,editor,com.roku.brightscript.plugin,1.0.0.201407311702,"com.roku.brightscript.ide.eclipse.core.editors.BrightScriptManifestEditor",1465524262339
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1465524264180
activated,editor,com.roku.brightscript.plugin,1.0.0.201407311702,"com.roku.brightscript.ide.eclipse.core.editors.BrightScriptManifestEditor",1465524264445
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1465524266036
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1465524272526
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1465524273852
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1465524277065
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1465524279717
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1465524282635
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1465524300231
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1465524303913
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1465524304490
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1465524304490
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1465524304490
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1465524304490
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1465524304631
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1465524307470
error,log,,,"Unhandled event loop exception",1465524311136
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1465524316190
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1465524319575
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1465524319606
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1465524319606
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1465524323428
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1465524323475
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1465524324006
activated,editor,com.roku.brightscript.plugin,1.0.0.201407311702,"com.roku.brightscript.ide.eclipse.core.editors.BrightScriptManifestEditor",1465524327625
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1465524327625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1465524333724
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1465524338021
